entry_date,expiration,stock_entry_price,strike,stock_close_date,stock_close_at_expiration,assigned,estimated_premium,estimated_profit,ticker
2025-06-02,2025-06-06,131.44,112.0,2025-06-06,127.72,False,583.05,583.05,O:PLTR250606P00112000
2025-06-09,2025-06-13,127.08,108.0,2025-06-13,137.4,False,572.25,572.25,O:PLTR250613P00108000
2025-06-16,2025-06-20,140.03,119.0,2025-06-20,137.3,False,630.9,630.9,O:PLTR250620P00119000
2025-06-23,2025-06-27,138.9,118.0,2025-06-27,130.74,False,627.0,627.0,O:PLTR250627P00118000
2025-07-07,2025-07-11,134.38,114.0,2025-07-11,142.1,False,611.4,611.4,O:PLTR250711P00114000
2025-07-14,2025-07-18,142.72,121.0,2025-07-18,153.52,False,651.6,651.6,O:PLTR250718P00121000
2025-07-21,2025-07-25,153.88,131.0,2025-07-25,158.8,False,686.4,686.4,O:PLTR250725P00131000
2025-07-28,2025-08-01,159.88,136.0,2025-08-01,154.27,False,716.4,716.4,O:PLTR250801P00136000
2025-08-04,2025-08-08,158.53,135.0,2025-08-08,186.96,False,705.9,705.9,O:PLTR250808P00135000
2025-08-11,2025-08-15,186.47,157.5,2025-08-15,177.17,False,869.1,869.1,O:PLTR250815P00157500
2025-08-18,2025-08-22,175.27,149.0,2025-08-22,158.74,False,788.1,788.1,O:PLTR250822P00149000
2025-08-25,2025-08-29,156.1,133.0,2025-08-29,156.71,False,693.0,693.0,O:PLTR250829P00133000
2025-09-08,2025-09-12,154.91,130.0,2025-09-12,171.43,False,747.3,747.3,O:PLTR250912P00130000
2025-09-15,2025-09-19,169.6,144.0,2025-09-19,182.39,False,768.0,768.0,O:PLTR250919P00144000
2025-09-22,2025-09-26,180.88,152.5,2025-09-26,177.57,False,851.4,851.4,O:PLTR250926P00152500
2025-09-29,2025-10-03,179.64,152.5,2025-10-03,173.07,False,814.2,814.2,O:PLTR251003P00152500
2025-10-06,2025-10-10,179.18,152.5,2025-10-10,175.44,False,800.4,800.4,O:PLTR251010P00152500
2025-10-13,2025-10-17,178.68,152.5,2025-10-17,178.15,False,785.4,785.4,O:PLTR251017P00152500
2025-10-20,2025-10-24,179.49,152.5,2025-10-24,184.63,False,809.7,809.7,O:PLTR251024P00152500
2025-10-27,2025-10-31,188.97,160.0,2025-10-31,200.47,False,869.1,869.1,O:PLTR251031P00160000
2025-11-03,2025-11-07,205.04,175.0,2025-11-07,177.93,False,901.35,901.35,O:PLTR251107P00175000
2025-11-10,2025-11-14,184.31,157.5,2025-11-14,174.01,False,804.3,804.3,O:PLTR251114P00157500
2025-11-17,2025-11-21,170.53,145.0,2025-11-21,154.85,False,765.9,765.9,O:PLTR251121P00145000
2025-11-24,2025-11-28,157.47,134.0,2025-11-28,168.45,False,704.1,704.1,O:PLTR251128P00134000
2025-12-01,2025-12-05,165.0,140.0,2025-12-05,181.76,False,750.0,750.0,O:PLTR251205P00140000
2025-12-08,2025-12-12,182.21,155.0,2025-12-12,183.57,False,816.3,816.3,O:PLTR251212P00155000
2025-12-15,2025-12-19,185.08,157.5,2025-12-19,193.38,False,827.4,827.4,O:PLTR251219P00157500
2025-12-22,2025-12-26,195.04,165.0,2025-12-26,188.71,False,901.2,901.2,O:PLTR251226P00165000
2025-12-29,2026-01-02,186.85,160.0,2026-01-02,167.86,False,805.5,805.5,O:PLTR260102P00160000
2026-01-05,2026-01-09,174.88,150.0,2026-01-09,177.49,False,746.4,746.4,O:PLTR260109P00150000
2026-01-12,2026-01-16,177.69,150.0,2026-01-16,170.96,False,830.55,830.55,O:PLTR260116P00150000
2026-01-26,2026-01-30,168.21,143.0,2026-01-30,146.59,False,756.3,756.3,O:PLTR260130P00143000
2026-02-02,2026-02-06,150.94,128.0,2026-02-06,135.9,False,688.2,688.2,O:PLTR260206P00128000
2026-02-09,2026-02-13,136.58,116.0,2026-02-13,131.41,False,617.4,617.4,O:PLTR260213P00116000
2026-02-23,2026-02-27,132.04,112.0,2026-02-27,137.19,False,601.2,601.2,O:PLTR260227P00112000
2026-03-02,2026-03-06,140.78,120.0,2026-03-06,157.16,False,623.25,623.25,O:PLTR260306P00120000
2026-03-09,2026-03-13,155.69,132.0,2026-03-13,150.95,False,710.7,710.7,O:PLTR260313P00132000
2026-03-16,2026-03-20,152.45,130.0,2026-03-20,150.68,False,673.5,673.5,O:PLTR260320P00130000
2026-03-23,2026-03-27,153.24,130.0,2026-03-27,143.06,False,697.2,697.2,O:PLTR260327P00130000
2026-04-06,2026-04-10,148.36,126.0,2026-04-10,128.06,False,670.8,670.8,O:PLTR260410P00126000
2026-04-13,2026-04-17,130.23,111.0,2026-04-17,146.39,False,576.9,576.9,O:PLTR260417P00111000
2026-04-20,2026-04-24,145.0,123.0,2026-04-24,143.09,False,660.0,660.0,O:PLTR260424P00123000
2026-04-27,2026-05-01,141.25,120.0,2026-05-01,144.07,False,637.5,637.5,O:PLTR260501P00120000
2026-05-04,2026-05-08,147.75,126.0,2026-05-08,137.8,False,652.5,652.5,O:PLTR260508P00126000
2026-05-11,2026-05-15,134.91,115.0,2026-05-15,133.99,False,597.3,597.3,O:PLTR260515P00115000
2026-05-18,2026-05-22,132.5,113.0,2026-05-22,136.88,False,585.0,585.0,O:PLTR260522P00113000
