entry_date,expiration,stock_entry,strike,stock_close_at_exp,option_price,premium_received,assigned,profit,ticker
2025-06-02,2025-06-06,131.44,112.0,127.72,0.3,30.0,False,30.0,O:PLTR250606P00112000
2025-06-09,2025-06-13,127.08,108.0,137.4,0.26,26.0,False,26.0,O:PLTR250613P00108000
2025-06-16,2025-06-20,140.03,119.0,137.3,0.01,1.0,False,1.0,O:PLTR250620P00119000
2025-06-23,2025-06-27,138.9,118.0,130.74,0.16,16.0,False,16.0,O:PLTR250627P00118000
2025-07-07,2025-07-11,134.38,114.0,142.1,1.98,198.0,False,198.0,O:PLTR250711P00114000
2025-07-14,2025-07-18,142.72,121.0,153.52,0.31,31.0,False,31.0,O:PLTR250718P00121000
2025-07-21,2025-07-25,153.88,131.0,158.8,0.08,8.0,False,8.0,O:PLTR250725P00131000
2025-07-28,2025-08-01,159.88,136.0,154.27,0.14,14.0,False,14.0,O:PLTR250801P00136000
2025-08-04,2025-08-08,158.53,135.0,186.96,1.8,180.0,False,180.0,O:PLTR250808P00135000
2025-08-11,2025-08-15,186.47,157.5,177.17,0.28,28.0,False,28.0,O:PLTR250815P00157500
2025-08-18,2025-08-22,175.27,149.0,158.74,0.18,18.0,False,18.0,O:PLTR250822P00149000
2025-08-25,2025-08-29,156.1,133.0,156.71,0.53,53.0,False,53.0,O:PLTR250829P00133000
2025-09-08,2025-09-12,154.91,130.0,171.43,0.13,13.0,False,13.0,O:PLTR250912P00130000
2025-09-15,2025-09-19,169.6,144.0,182.39,0.19,19.0,False,19.0,O:PLTR250919P00144000
2025-09-22,2025-09-26,180.88,152.5,177.57,0.25,25.0,False,25.0,O:PLTR250926P00152500
2025-09-29,2025-10-03,179.64,152.5,173.07,0.48,48.0,False,48.0,O:PLTR251003P00152500
2025-10-06,2025-10-10,179.18,152.5,175.44,0.38,38.0,False,38.0,O:PLTR251010P00152500
2025-10-13,2025-10-17,178.68,152.5,178.15,0.4,40.0,False,40.0,O:PLTR251017P00152500
2025-10-20,2025-10-24,179.49,152.5,184.63,0.27,27.0,False,27.0,O:PLTR251024P00152500
2025-10-27,2025-10-31,188.97,160.0,200.47,0.22,22.0,False,22.0,O:PLTR251031P00160000
2025-11-03,2025-11-07,205.04,175.0,177.93,1.42,142.0,False,142.0,O:PLTR251107P00175000
2025-11-10,2025-11-14,184.31,157.5,174.01,0.61,61.0,False,61.0,O:PLTR251114P00157500
2025-11-17,2025-11-21,170.53,145.0,154.85,0.53,53.0,False,53.0,O:PLTR251121P00145000
2025-11-24,2025-11-28,157.47,134.0,168.45,0.3,30.0,False,30.0,O:PLTR251128P00134000
2025-12-01,2025-12-05,165.0,140.0,181.76,0.24,24.0,False,24.0,O:PLTR251205P00140000
2025-12-08,2025-12-12,182.21,155.0,183.57,0.16,16.0,False,16.0,O:PLTR251212P00155000
2025-12-15,2025-12-19,185.08,157.5,193.38,0.12,12.0,False,12.0,O:PLTR251219P00157500
2025-12-22,2025-12-26,195.04,165.0,188.71,0.15,15.0,False,15.0,O:PLTR251226P00165000
2025-12-29,2026-01-02,186.85,160.0,167.86,0.08,8.0,False,8.0,O:PLTR260102P00160000
2026-01-05,2026-01-09,174.88,150.0,177.49,0.12,12.0,False,12.0,O:PLTR260109P00150000
2026-01-12,2026-01-16,177.69,150.0,170.96,0.13,13.0,False,13.0,O:PLTR260116P00150000
2026-01-26,2026-01-30,168.21,143.0,146.59,0.11,11.0,False,11.0,O:PLTR260130P00143000
2026-02-02,2026-02-06,150.94,128.0,135.9,0.91,91.0,False,91.0,O:PLTR260206P00128000
2026-02-09,2026-02-13,136.58,116.0,131.41,0.25,25.0,False,25.0,O:PLTR260213P00116000
2026-02-23,2026-02-27,132.04,112.0,137.19,0.31,31.0,False,31.0,O:PLTR260227P00112000
2026-03-02,2026-03-06,140.78,120.0,157.16,0.44,44.0,False,44.0,O:PLTR260306P00120000
2026-03-09,2026-03-13,155.69,132.0,150.95,0.41,41.0,False,41.0,O:PLTR260313P00132000
2026-03-16,2026-03-20,152.45,130.0,150.68,0.35,35.0,False,35.0,O:PLTR260320P00130000
2026-03-23,2026-03-27,153.24,130.0,143.06,0.34,34.0,False,34.0,O:PLTR260327P00130000
2026-04-06,2026-04-10,148.36,126.0,128.06,0.16,16.0,False,16.0,O:PLTR260410P00126000
2026-04-13,2026-04-17,130.23,111.0,146.39,0.26,26.0,False,26.0,O:PLTR260417P00111000
2026-04-20,2026-04-24,145.0,123.0,143.09,0.11,11.0,False,11.0,O:PLTR260424P00123000
2026-04-27,2026-05-01,141.25,120.0,144.07,0.17,17.0,False,17.0,O:PLTR260501P00120000
2026-05-04,2026-05-08,147.75,126.0,137.8,0.9,90.0,False,90.0,O:PLTR260508P00126000
2026-05-11,2026-05-15,134.91,115.0,133.99,0.12,12.0,False,12.0,O:PLTR260515P00115000
2026-05-18,2026-05-22,132.5,113.0,136.88,0.12,12.0,False,12.0,O:PLTR260522P00113000
